nombre_tabla,mes,anio,ext,url_csv
velocidad_media_vehicular,marzo,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/8514498d-44c8-4e0a-9b39-60c116f1a2da/download/autoscope_03_2022_velocidad.csv
velocidad_media_vehicular,abril,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/c9cf7652-4bcf-4915-a309-a5f1afa10e34/download/autoscope_04_2022_velocidad.csv
velocidad_media_vehicular,mayo,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/ee39ca84-c4d4-45cf-9779-fbf69599149f/download/autoscope_05_2022_volumen.csv
velocidad_media_vehicular,junio,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/85f6a6bf-0ac4-4b0e-b992-16e78d958b5e/download/autoscope_06_2022_velocidad.csv
velocidad_media_vehicular,julio,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/7386fb3d-bcc8-4d29-bc56-afaaae718534/download/autoscope_07_2022_velocidad.csv
velocidad_media_vehicular,agosto,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/c409abad-d178-44fc-a8de-937b2f5ac92c/download/autoscope_08_2022_velocidad.csv
velocidad_media_vehicular,septiembre,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/937647ee-5fc9-4a4e-98ce-379767a61d6e/download/autoscope_09_2022_velocidad.csv
velocidad_media_vehicular,octubre,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/fac9be3b-21af-420f-b773-e4b29ef2d95f/download/autoscope_10_2022_velocidad.csv
velocidad_media_vehicular,noviembre,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/c627aa6a-e698-4ffe-a20f-ab108f1976fd/download/autoscope_11_2022_velocidad.csv
velocidad_media_vehicular,diciembre,2022,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/e87c1fcf-4182-4066-8a17-cc66d37b2d39/download/autoscope_12_2022_velocidad.csv
velocidad_media_vehicular,enero,2023,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/81c43675-ab49-4d4d-a646-58d837802748/download/autoscope_01_2023_velocidad.csv
velocidad_media_vehicular,febrero,2023,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/ed36d303-9d44-4c14-8ad9-7a864c6f7712/download/autoscope_02_2023_velocidad.csv
velocidad_media_vehicular,marzo,2023,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/40108f7a-f191-4faa-9469-52bd382c843a/download/autoscope_03_2023_velocidad.csv
velocidad_media_vehicular,abril,2023,csv,https://catalogodatos.gub.uy/dataset/64189920-546e-4266-a8ee-476524313661/resource/874f6b3f-e8e4-4de2-9955-a1905be70aed/download/autoscope_04_2023_velocidad.csv
